Stimulus,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates,CID,MolecularWeight,IsomericSMILES,IUPACName,name
4,0.0,0.386,0.6,0.28,0.94,2.67,0.6898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,4,75.11,CC(CN)O,1-aminopropan-2-ol,1-aminopropan-2-ol
11,-0.778,0.416,0.64,0.1,0.11,2.573,0.6352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,11,98.96,C(CCl)Cl,"1,2-dichloroethane","1,2-dichloroethane"
176,2.252925,0.265,0.64,0.62,0.44,1.816,0.4648,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.5,0.0,1,176,60.05,CC(=O)O,acetic acid,acetic acid
177,2.82391,0.208,0.67,0.0,0.45,1.23,0.4061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,177,44.05,CC=O,acetaldehyde,acetaldehyde
180,-0.6104999999999999,0.179,0.7,0.04,0.49,1.696,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,3.5,1.0,1,180,58.08,CC(=O)C,propan-2-one,acetone
241,-0.43136,0.61,0.52,0.0,0.14,2.786,0.7164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,241,78.11,C1=CC=CC=C1,benzene,benzene
261,2.01031,0.1869999999999999,0.65,0.0,0.45,2.27,0.6879,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.333333333333333,0.3333333333333333,2,261,72.11,CCCC=O,butanal,butyraldehyde
263,0.935805,0.224,0.42,0.37,0.48,2.601,0.7309,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,2.5,0.25,3,263,74.12,CCCCO,butan-1-ol,1-butanol
264,3.24975,0.21,0.64,0.61,0.45,2.75,0.7466,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,2.333333333333333,0.3333333333333333,2,264,88.11,CCCC(=O)O,butanoic acid,butyric acid
284,-0.886,0.343,0.75,0.76,0.33,1.545,0.3239,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,284,46.025,C(=O)O,formic acid,formic acid
313,1.3098,0.36,0.32,0.1,0.0,1.193,0.3534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,313,36.46,Cl,chlorane,hydrochloric acid
335,3.55284,0.84,0.86,0.52,0.3,4.218,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,335,108.14,CC1=CC=CC=C1O,2-methylphenol,o-cresol
342,4.0,0.822,0.88,0.57,0.34,4.31,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,342,108.14,CC1=CC(=CC=C1)O,3-methylphenol,m-cresol
356,-0.23045,0.0,0.0,0.0,0.0,3.677,1.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,356,114.23,CCCCCCCC,octane,octane
379,4.012499999999999,0.15,0.65,0.62,0.45,4.68,1.3102,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,3.0,0.5,1,379,144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid
402,3.38722,0.31,0.32,0.1,0.08,0.706,0.2721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,402,34.08,S,sulfane,hydrogen sulfide
454,3.719,0.16,0.65,0.0,0.45,4.361,1.2515,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.333333333333333,0.3333333333333333,2,454,128.21,CCCCCCCC=O,octanal,octanal
527,2.5225,0.196,0.65,0.0,0.45,1.815,0.547,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,527,58.08,CCC=O,propanal,propionaldehyde
674,1.48149,0.189,0.3,0.08,0.66,1.6,0.4902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,674,45.08,CNC,N-methylmethanamine,dimethylamine
702,-0.362,0.246,0.42,0.3699999999999999,0.48,1.485,0.4491,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.333333333333333,0.6666666666666666,2,702,46.07,CCO,ethanol,ethanol
712,0.30103,0.22,0.62,0.0,0.33,0.73,0.2652,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,712,30.026,C=O,formaldehyde,formaldehyde
798,3.52288,1.2,1.16,0.44,0.2,5.153,0.9464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,798,117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,indole
878,4.1549,0.4,0.6,0.0,0.12,1.64,0.413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,878,48.11,CS,methanethiol,methanethiol
887,-1.9045,0.278,0.44,0.43,0.47,0.97,0.3082,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,2.5,0.5,1,887,32.042,CO,methanol,methanol
957,2.46432,0.199,0.42,0.37,0.48,4.619,1.2945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5,0.0,1,957,130.23,CCCCCCCCO,octan-1-ol,1-octanol
996,2.25181,0.805,0.89,0.6,0.3,3.766,0.7751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,996,94.11,C1=CC=C(C=C1)O,phenol,phenol
1031,-0.0615649999999999,0.236,0.42,0.37,0.48,2.031,0.59,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1,1031,60.1,CCCO,propan-1-ol,1-propanol
1032,2.24413,0.233,0.65,0.61,0.44,2.276,0.6057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1032,74.08,CCC(=O)O,propanoic acid,propionic acid
1049,0.54533,0.631,0.84,0.0,0.52,3.022,0.6753,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1,1049,79.1,C1=CC=NC=C1,pyridine,pyridine
1068,2.52288,0.404,0.43,0.0,0.27,2.0366,0.5539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1068,62.14,CSC,methylsulfanylmethane,dimethyl sulfide
1119,0.06048,0.37,0.66,0.28,0.1,0.7776,0.3465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1119,64.07,O=S=O,sulfur dioxide,sulfur dioxide
1127,3.20761,0.623,0.66,0.0,0.26,3.061,0.7271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1127,88.17,C1CCSC1,thiolane,tetrahydrothiophene
1140,0.0403725,0.601,0.52,0.0,0.14,3.325,0.8573,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,2.5,0.5,3,1140,92.14,CC1=CC=CC=C1,toluene,toluene
1254,1.66,0.4,0.5,0.23,0.58,5.177,1.4677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1254,156.26,CC1CCC(C(C1)O)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-ol,menthol
2758,0.495,0.383,0.45,0.0,0.65,4.864,1.3591,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
2879,4.26761,0.82,0.87,0.57,0.31,4.312,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2879,108.14,CC1=CC=C(C=C1)O,4-methylphenol,p-cresol
3301,0.0,0.462,0.17,0.04,1.29,1.88,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,3301,60.1,C(CN)N,"ethane-1,2-diamine",ethylenediamine
3776,-1.6025,0.212,0.36,0.33,0.56,1.764,0.59,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,2.5,1.0,1,3776,60.1,CC(C)O,propan-2-ol,isopropanol
4763,3.868,0.919,1.65,0.0,0.69,6.84,1.4454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0,4763,232.23,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,"5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",phenobarbital
5943,-0.66276,0.458,0.38,0.0,0.0,2.823,0.7391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,5943,153.8,C(Cl)(Cl)(Cl)Cl,tetrachloromethane,carbon tetrachloride
6054,2.19,0.811,0.86,0.31,0.65,4.628,1.0569,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,6054,122.16,C1=CC=C(C=C1)CCO,2-phenylethanol,2-phenylethanol
6184,2.7106133333333333,0.146,0.65,0.0,0.45,3.3570000000000007,0.9697,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.333333333333333,0.6666666666666666,2,6184,100.16,CCCCCC=O,hexanal,hexanal
6212,-0.57978,0.425,0.49,0.15,0.02,2.48,0.6167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6212,119.37,C(Cl)(Cl)Cl,chloroform,chloroform
6276,0.5226666666666667,0.219,0.42,0.3699999999999999,0.48,3.106,0.8718,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,0.3333333333333333,2,6276,88.15,CCCCCO,pentan-1-ol,1-pentanol
6325,-2.415,0.107,0.1,0.0,0.07,0.289,0.3474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,6325,28.05,C=C,ethene,ethylene
6329,1.45593,0.25,0.35,0.16,0.58,1.3,0.3493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6329,31.057,CN,methanamine,methylamine
6341,1.33724,0.236,0.35,0.16,0.61,1.677,0.4902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6341,45.08,CCN,ethanamine,ethanamine
6342,-1.11394,0.237,0.9,0.07,0.32,1.739,0.4042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6342,41.05,CC#N,acetonitrile,acetonitrile
6343,5.06048,0.392,0.42,0.0,0.2,2.0786,0.5539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6343,62.14,CCS,ethanethiol,ethanethiol
6348,0.67778,0.876,0.26,0.0,0.03,2.37,0.4905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6348,76.15,C(=S)=S,,carbon disulfide
6354,-2.415,0.25,0.74,0.07,0.32,1.371,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,6354,44.05,C1CO1,oxirane,oxirane
6363,1.14003,0.181,0.32,0.16,0.61,1.908,0.6311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,1,6363,59.11,CC(C)N,propan-2-amine,isopropylamine
6364,5.22185,0.336,0.35,0.0,0.25,2.4169,0.6948,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6364,76.16,CC(C)S,propane-2-thiol,2-propanethiol
6378,-0.996,0.243,0.74,0.07,0.35,1.775,0.4814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,6378,58.08,CC1CO1,2-methyloxirane,propylene oxide
6385,0.76955,0.121,0.29,0.16,0.71,2.493,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6385,73.14,CC(C)(C)N,2-methylpropan-2-amine,tert-butylamine
6386,-2.78,0.18,0.3,0.31,0.6,1.963,0.7309,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,6386,74.12,CC(C)(C)O,2-methylpropan-2-ol,tert-butanol
6387,4.5376,0.281,0.3,0.0,0.27,2.55,0.8357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6387,90.19,CC(C)(C)S,2-methylpropane-2-thiol,2-methyl-2-propanethiol
6389,-0.699,0.207,0.24,0.0,0.07,1.95,0.6344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,6389,137.36,C(F)(Cl)(Cl)Cl,trichloro(fluoro)methane,trichlorofluoromethane
6403,-1.30103,0.0,0.0,0.0,0.0,2.352,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6403,86.18,CCC(C)(C)C,"2,2-dimethylbutane","2,2-dimethylbutane"
6405,1.05552,0.194,0.3,0.31,0.6,2.63,0.8718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6405,88.15,CCC(C)(C)O,2-methylbutan-2-ol,2-methyl-2-butanol
6416,1.36653,0.106,0.62,0.0,0.51,2.928,0.9697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6416,100.16,CC(=O)C(C)(C)C,"3,3-dimethylbutan-2-one",pinacolone
6492,1.958,0.707,0.72,0.0,0.2,4.65,1.1058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,6492,132.2,C1C=CC2C1C3CC2C=C3,"tricyclo[5.2.1.02,6]deca-3,8-diene",dicyclopentadiene
6544,0.699,0.511,0.89,0.0,0.56,4.813,1.2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,6544,138.21,CC1=CC(=O)CC(C1)(C)C,"3,5,5-trimethylcyclohex-2-en-1-one",isophorone
6549,0.022,0.398,0.55,0.2,0.65,5.067,1.4903,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,6549,154.25,CC(=CCCC(C)(C=C)O)C,"3,7-dimethylocta-1,6-dien-3-ol",linalool
6556,-0.11394,0.0,0.0,0.0,0.0,2.013,0.8131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6556,72.15,CCC(C)C,2-methylbutane,2-methylbutane
6557,1.31876,0.313,0.23,0.0,0.1,2.101,0.7271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6557,68.12,CC(=C)C=C,"2-methylbuta-1,3-diene",isoprene
6558,2.82391,0.198,0.32,0.16,0.63,2.469,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6558,73.14,CC(C)CN,2-methylpropan-1-amine,isobutylamine
6560,1.062805,0.217,0.39,0.37,0.48,2.413,0.7309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,6560,74.12,CC(C)CO,2-methylpropan-1-ol,2-methyl-1-propanol
6561,3.45593,0.144,0.62,0.0,0.45,2.12,0.6879,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6561,72.11,CC(C)C=O,2-methylpropanal,isobutyraldehyde
6562,2.07058,0.4,0.7,0.0,0.5,2.18,0.6449,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6562,70.09,CC(=C)C=O,2-methylprop-2-enal,methacrolein
6564,0.602,0.369,0.63,0.0,0.17,2.836,0.7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,6564,112.98,CC(CCl)Cl,"1,2-dichloropropane","1,2-dichloropropane"
6567,1.853,0.446,0.7,0.2,1.19,2.915,0.7309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,6567,74.13,CC(CN)N,"propane-1,2-diamine","1,2-diaminopropane"
6568,-0.1338066666666666,0.217,0.36,0.33,0.56,2.338,0.7309,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,0.6666666666666666,2,6568,74.12,CCC(C)O,butan-2-ol,2-butanol
6569,0.0277749999999999,0.166,0.7,0.0,0.51,2.287,0.6879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,6569,72.11,CCC(=O)C,butan-2-one,2-butanone
6575,-0.59106,0.524,0.37,0.08,0.03,2.997,2.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6575,131.38,C(=C(Cl)Cl)Cl,"1,1,2-trichloroethene",trichloroethylene
6584,-0.23045,0.142,0.64,0.0,0.45,1.911,0.6057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6584,74.08,CC(=O)OC,methyl acetate,methyl acetate
6589,0.37675,0.0,0.0,0.0,0.0,2.495,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6589,86.18,CC(C)C(C)C,"2,3-dimethylbutane","2,3-dimethylbutane"
6590,2.82391,0.2,0.6,0.61,0.45,2.693,0.7466,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6590,88.11,CC(C)C(=O)O,2-methylpropanoic acid,isobutyric acid
6654,0.233865,0.446,0.14,0.0,0.12,4.308,1.2574,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1,6654,136.23,CC1=CCC2CC1C2(C)C,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",alpha-pinene
6658,0.67778,0.245,0.51,0.0,0.44,2.88,0.8445,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6658,100.12,CC(=C)C(=O)OC,methyl 2-methylprop-2-enoate,methyl methacrylate
6736,5.25181,1.2,1.06,0.44,0.22,6.114,1.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,6736,131.17,CC1=CNC2=CC=CC=C12,3-methyl-1H-indole,3-methylindole
7237,0.75861,0.638,0.54,0.0,0.16,3.889,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,7237,106.16,CC1=CC=CC=C1C,"1,2-xylene",o-xylene
7247,0.92082,0.677,0.56,0.0,0.19,4.441,1.1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7247,120.19,CC1=CC(=C(C=C1)C)C,"1,2,4-trimethylbenzene","1,2,4-trimethylbenzene"
7276,1.2,0.792,0.9,0.0,0.46,4.27,0.9483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,7276,120.15,C1C(O1)C2=CC=CC=C2,2-phenyloxirane,styrene oxide
7282,-0.94939,0.0,0.0,0.0,0.0,2.581,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7282,86.18,CCC(C)CC,3-methylpentane,3-methylpentane
7294,2.45593,0.254,0.66,0.0,0.42,2.36,0.7036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7294,86.09,COC(=O)C=C,methyl prop-2-enoate,methyl acrylate
7296,-0.23045,0.225,0.1,0.0,0.0,2.907,0.8454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7296,84.16,CC1CCCC1,methylcyclopentane,methylcyclopentane
7351,1.12494,0.0,0.5,0.0,0.47,3.885,1.3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7351,144.21,CC(C)COC(=O)C(C)C,2-methylpropyl 2-methylpropanoate,isobutyl isobutyrate
