Dataset,Mixture Label,smi_0,smi_1,smi_2,smi_3,smi_4,smi_5,smi_6,smi_7,smi_8,smi_9,smi_10,smi_11,smi_12,smi_13,smi_14,smi_15,smi_16,smi_17,smi_18,smi_19,smi_20,smi_21,smi_22,smi_23,smi_24,smi_25,smi_26,smi_27,smi_28,smi_29
Ravia,61,CCCCO,CC(C)C1=CC=C(C=C1)CO,CC1CCCC2(C1(CCCC2)O)C,COC1=C(C=CC(=C1)CC=C)O,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CC(C)C1=CC=CC=C1,CC(CCCC(C)(C)O)CC=O,CC1=CC=C(C=C1)OC(=O)C,,,,,,,,,,,,,,,,,,,,,,
Ravia,62,CCCCO,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(C)C1=CC=CC=C1,CC1=CC=C(C=C1)OC,C1CCC(CC1)O,CCC(=O)C=CC1=C(CCCC1(C)C)C,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,C1=CC=C(C=C1)/C=C/C=O,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CC/C=C/CCO,,,,,,,,,,,,,,,,,,,,
Ravia,63,C1=CC=C(C=C1)CC(=O)O,CC(C)C1=CC=CC=C1,CC(C)CCOC(=O)CC1=CC=CC=C1,CCCCCCCO,CCCCCCCCCCO,CC(CCC=C(C)C)CCOC(=O)C,CC1=CN=C(C=N1)C,CCCCCC1=C(CCC1=O)C,CC1C=C(CCC1C=O)C,,,,,,,,,,,,,,,,,,,,,
Ravia,64,CC(C)C1=CC=C(C=C1)C=O,CC(CCCC(C)(C)O)CC=O,CC(CCC=C(C)C)CCOC(=O)C,CCC=C(C)C(=O)O,CCC1=NC=CN=C1,CC1=CN=C(C=N1)C,CCC(C)(C)C1CCCCC1OC(=O)C,CC/C=C/CCO,CCCC(=O)OCC/C=C\CC,CCCCCC/C=C/C(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,65,CC(C)C1=CC=C(C=C1)CO,C1CC(=O)OC2=CC=CC=C21,CC1CCCC2(C1(CCCC2)O)C,CC(C)C(=O)OCCC1=CC=CC=C1,CC1=CC=C(C=C1)OC,C1CCC(CC1)O,CC1=CC=C(N1)C,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,CC(=CCC/C(=C/C=O)/C)C,CC/C=C\CCO,,,,,,,,,,,,,,,,,,,,
Ravia,66,CC(C)C1=CC=C(C=C1)CO,CC(C)C[C@@H](C(=O)O)N,CC1=CC=C(C=C1)OC,C1CCC(CC1)O,CC1=CC=C(C=C1)OC(=O)C,CSSSC,CC1=CN=C(C=N1)C,CCCCCC=CC=CC=C,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,,
Ravia,67,CCCCO,CC1(C2CCC(O1)(CC2)C)C,CCC1=CC=CC=C1O,C1CCC(CC1)O,CCCCCCCCCCO,CCCCCC=CC=CC=C,CCC(C)(C)C1CCCCC1OC(=O)C,CCCCCC1=C(CCC1=O)C,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,,,,
Ravia,68,CC(C)C1=CC=C(C=C1)CO,CC1CCCC2(C1(CCCC2)O)C,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC=CC1=CC(=C(C=C1)OC)OC,COC1=CC=CC=C1,CCC(=O)OCC,CC1=CC=C(N1)C,CCC1=NC=CN=C1,CC1=CC[C@@H]2C[C@H]1C2(C)C,CC/C=C\CCO,,,,,,,,,,,,,,,,,,,,
Ravia,69,CC(C)C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)CC(=O)O,CC1=CC(=O)CC(C1)(C)C,CC1=CC2=C(C=C1)N=CC=C2,CC(C)C(=O)OCCC1=CC=CC=C1,CCCCCCCCCCCCCC(=O)OC(C)C,CCCCCCCO,CCC=C(C)C(=O)O,CCCCCC1=C(CCC1=O)C,CCCCCC/C=C/C(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,70,CCCCO,CC(C)C1=CC=C(C=C1)CO,C1CC(=O)OC2=CC=CC=C21,C1=CC=C(C=C1)CC(=O)O,CC=CC1=CC(=C(C=C1)OC)OC,CC(C)C(=O)OCCC1=CC=CC=C1,CCCCCC1CCC(=O)O1,CC1=CC=C(C=C1)OC,CC1=CC=C(C=C1)OC(=O)C,CCC=C(C)C(=O)O,CC1=NC=CN=C1C,CCC(=O)C=CC1=C(CCCC1(C)C)C,CC1=CC[C@@H]2C[C@H]1C2(C)C,C/C=C/C1=CC=C(C=C1)OC,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CC/C=C/CCO,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,,,,,,,,,,,,
Ravia,71,CCCCO,C1=CC=C(C=C1)CC(=O)O,CC1=CC2=C(C=C1)N=CC=C2,CCCCCC1CCC(=O)O1,CCC(=O)OCC,C1CCC(CC1)O,CCCCCCCO,CC1=CC=C(C=C1)OC(=O)C,CCCCC(=O)OCC,CC1=NC=CN=C1C,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,CC(=CCC/C(=C/C=O)/C)C,CC/C=C/CCO,,,,,,,,,,,,,,,,,
Ravia,72,C1=CC=C(C=C1)CC(=O)O,CC=CC1=CC(=C(C=C1)OC)OC,COC1=CC=CC=C1,CC(C)C(=O)OCCC1=CC=CC=C1,CCCCCC1CCC(=O)O1,CCCCCCCCCCO,C/C=C/C1=CC=C(C=C1)OC,CCCCCC/C=C/C(=O)C,CCC/C=C\COC(=O)C,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,,,,,,,,,,,,,,,,,,,,
Ravia,73,C1=CC=C(C=C1)CC(=O)O,CC1CCCC2(C1(CCCC2)O)C,CCCCCCCO,CC1=NC=CN=C1C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,CCCCCC1C(CCC1=O)CC(=O)OC,CC1=CC[C@H](CC1=O)C(=C)C,CC/C=C/CCO,C/C=C(\C)/C(=O)OC,CCCCCC/C=C/C(=O)C,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,
Ravia,74,CC(C)C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)CC(=O)O,CC1=CC2=C(C=C1)N=CC=C2,CC=CC1=CC(=C(C=C1)OC)OC,CCCCCC1CCC(=O)O1,CCC(=O)OCC,CC(CCCC(C)(C)O)CC=O,CCCCSCCCC,CCC=C(C)C(=O)O,CC1=CN=C(C=N1)C,CCC(=O)C=CC1=C(CCCC1(C)C)C,CC(=CCC/C(=C/C=O)/C)C,CCCCCC/C=C/C(=O)C,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,
Ravia,75,CC1CCCC2(C1(CCCC2)O)C,CC(C)C1=CC=CC=C1,CCCCCCCO,CCCCSCCCC,CC1=CN=C(C=N1)C,CC1=CC[C@H](CC1=O)C(=C)C,CC/C=C/CCO,C/C=C(\C)/C(=O)OC,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,,
Ravia,76,CCCCO,C1=CC=C(C=C1)CC(=O)O,CC1=CC2=C(C=C1)N=CC=C2,CCCCCC1CCC(=O)O1,CCC(=O)OCC,C1CCC(CC1)O,CCCCCCCO,CC1=CC=C(C=C1)OC(=O)C,CCCCCC(=O)O,CCCCC(=O)OCC,CC1=NC=CN=C1C,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,CC(=CCC/C(=C/C=O)/C)C,CC/C=C/CCO,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,,,,,,,,,,,,,,
Ravia,77,CCCCO,C1=CC=C(C=C1)CC(=O)O,CC1=CC=C(C=C1)OC(=O)C(C)C,CCC(=O)OCC,CCCCCC1=C(CCC1=O)C,CC1=CC[C@@H]2C[C@H]1C2(C)C,C/C=C/C1=CC=C(C=C1)OC,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,C/C=C(\C)/C(=O)OC,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,,,,
Ravia,78,CC(C)C1=CC=C(C=C1)CO,CC1CCCC2(C1(CCCC2)O)C,CC1=CC(=O)CC(C1)(C)C,CC(C)C1=CC=CC=C1,CC(CCCC(C)(C)O)CC=O,CCCCCCCCCCO,CC1=CC=C(N1)C,CCC1=NC=CN=C1,CCC(C)(C)C1CCCCC1OC(=O)C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,C/C=C/C1=CC=C(C=C1)OC,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CC/C=C\CCOC(=O)CC,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,,,,,,,,,,,,,,,
Ravia,79,CC(C)C[C@@H](C(=O)O)N,CC1=CC(=O)CC(C1)(C)C,CC1=CC2=C(C=C1)N=CC=C2,CCCCCOC(=O)CCC,CCC(C)(C)C1CCCCC1OC(=O)C,CCCCCC1=C(CCC1=O)C,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CCCC(=O)OCC/C=C\CC,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,,,
Ravia,80,CCCCO,CC(C)C1=CC=C(C=C1)CO,C1CC(=O)OC2=CC=CC=C21,CC(C)C[C@@H](C(=O)O)N,CC=CC1=CC(=C(C=C1)OC)OC,CC(C)C1=CC=CC=C1,COC1=CC=CC=C1,CC(C)C(=O)OCCC1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C(C)C,C1CCC(CC1)O,CCCCCCCO,CCCCCCCCCCO,CC1=CC=C(C=C1)OC(=O)C,CCC=C(C)C(=O)O,CC1=NC=CN=C1C,CCCCCC1=C(CCC1=O)C,C1=CC=C(C=C1)/C=C/C=O,CC/C=C/CCO,CCC/C=C\COC(=O)C,,,,,,,,,,,
Ravia,81,CCCCO,CC(C)C1=CC=C(C=C1)C=O,CC(C)C1=CC=CC=C1,COC1=CC=CC=C1,C1CCC(CC1)O,CCCCCCCCCCCCCC(=O)OC(C)C,CCCCCCCCCCO,CC(CCC=C(C)C)CCOC(=O)C,CCCCCOC(=O)CCC,CC1=NC=CN=C1C,CCC(=O)C=CC1=C(CCCC1(C)C)C,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,C/C=C(\C)/C(=O)OC,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,
Ravia,82,CCCCO,COC1=C(C=CC(=C1)CC=C)O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CCC(=O)OCC,CCCCCCC=O,CCCCCCCCCCO,CCCCSCCCC,CCC(=O)C=CC1=C(CCCC1(C)C)C,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,,,,
Ravia,83,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CC1=CC=C(C=C1)OC(=O)C(C)C,CCCCCC1CCC(=O)O1,C1CCC(CC1)O,CC1=CC=C(C=C1)OC(=O)C,CC(CCC=C(C)C)CCOC(=O)C,CCC=C(C)C(=O)O,CCCCCC1=C(CCC1=O)C,C1=CC=C(C=C1)/C=C/C=O,CCCCCC/C=C/C(=O)C,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,,,,,,,,,,,,,,,,,,,
Ravia,84,CC1=CC(=O)CC(C1)(C)C,CC1=CC2=C(C=C1)N=CC=C2,CC1=CC=C(C=C1)OC,CCCCCCCO,CCCCCCC=O,CCCCCCCCCCO,CC1=CC=C(C=C1)OC(=O)C,CCCCCC1=C(CCC1=O)C,CC/C=C/CCO,CCCCCC/C=C/C(=O)C,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,
Ravia,85,CC(C)C1=CC=C(C=C1)C=O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC1=CC2=C(C=C1)N=CC=C2,COC1=CC=CC=C1,CC(C)CCOC(=O)CC1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C(C)C,CCCCCCCCCCO,CC1=CC=C(C=C1)OC(=O)C,CC1=CC=C(N1)C,CC1=NC=CN=C1C,CCCCCC1=C(CCC1=O)C,CC1=CC[C@H](CC1=O)C(=C)C,CCCCCC/C=C/C(=O)C,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,
Ravia,86,C1=CC=C(C=C1)CC(=O)O,COC1=CC=CC=C1,CCCCCC1CCC(=O)O1,CCC(=O)OCC,CC(CCCC(C)(C)O)CC=O,CCCCSCCCC,CC1=CN=C(C=N1)C,CCC(=O)C=CC1=C(CCCC1(C)C)C,C/C=C/C1=CC=C(C=C1)OC,CCCCCC/C=C/C(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,87,CC(C)C1=CC=C(C=C1)CO,CC(C)C1=CC=CC=C1,CCCCCC1CCC(=O)O1,CC1=CC=C(C=C1)OC,CC(CCCC(C)(C)O)CC=O,CCCCCCC=O,CCCCC(=O)OCC,CCCCSCCCC,CCC1=NC=CN=C1,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OCC/C=C\CC,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,
Ravia,88,C1=CC=C(C=C1)CC(=O)O,CC1CCCC2(C1(CCCC2)O)C,COC1=CC=CC=C1,CCCCCC1CCC(=O)O1,CCC(=O)OCC,CC(CCCC(C)(C)O)CC=O,C1CCC(CC1)O,CCCCCCCCCCO,CCCCCOC(=O)CCC,CC1=NC=CN=C1C,CC1=CC[C@H](CC1=O)C(=C)C,CC(=CCC/C(=C/C=O)/C)C,CC/C=C\CCOC(=O)CC,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,,,,,,,,,,,,,,,,
Ravia,89,CC(C)C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)CC(=O)O,COC1=C(C=CC(=C1)CC=C)O,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CC1=CC2=C(C=C1)N=CC=C2,CC(C)C(=O)OCCC1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C(C)C,CC1=CC=C(C=C1)OC,CCCCC(=O)OCC,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,
Ravia,90,CCCCO,C1=CC=C(C=C1)CC(=O)O,CC1CCCC2(C1(CCCC2)O)C,CC(CCCC(C)(C)O)CC=O,CCCCCCC=O,CCCCC(=O)OCC,CC(=CCC/C(=C/C=O)/C)C,CC/C=C/CCO,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,,,
Ravia,91,C1=CC=C(C=C1)CC(=O)O,CC1CCCC2(C1(CCCC2)O)C,CCC1=CC=CC=C1O,CC=CC1=CC(=C(C=C1)OC)OC,CC(C)C(=O)OCCC1=CC=CC=C1,CC(CCCC(C)(C)O)CC=O,CC1=CC[C@@H]2C[C@H]1C2(C)C,CCC/C=C\COC(=O)C,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,,,,,,,,,,,,,,,,,,,,,
Ravia,92,CCCCCCCCCCCCCC(=O)OC(C)C,CCCCCCCCCCO,CCCCC(=O)OCC,CCCCSCCCC,CC1=CC=C(N1)C,CCCCCCCC(=O)C,CC1=NC=CN=C1C,CCC(=O)C=CC1=C(CCCC1(C)C)C,CCCCCC1C(CCC1=O)CC(=O)OC,CC1=CC[C@H](CC1=O)C(=C)C,CCCC(=O)OCC/C=C\CC,CCCCCC/C=C/C(=O)C,CC/C=C\CCOC(=O)CC,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,,,,,,,,,,,,,,,,
Ravia,93,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC1=CC2=C(C=C1)N=CC=C2,CC=CC1=CC(=C(C=C1)OC)OC,COC1=CC=CC=C1,CCC(=O)OCC,CCCCCCC=O,CCCCC(=O)OCC,CCC=C(C)C(=O)O,CC1=NC=CN=C1C,CCC1=NC=CN=C1,CC1=CN=C(C=N1)C,CC1=CC[C@@H]2C[C@H]1C2(C)C,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,
Ravia,94,CC(C)C1=CC=C(C=C1)CO,C1CC(=O)OC2=CC=CC=C21,C1=CC=C(C=C1)CC(=O)O,CC1CCCC2(C1(CCCC2)O)C,CC(C)C[C@@H](C(=O)O)N,CC1=CC(=O)CC(C1)(C)C,CC1=CC2=C(C=C1)N=CC=C2,CC1=CC=C(C=C1)OC,CCCCCC(=O)O,CCCCCC1=C(CCC1=O)C,C1=CC=C(C=C1)/C=C/C=O,,,,,,,,,,,,,,,,,,,
Ravia,95,CCCCO,C1CC(=O)OC2=CC=CC=C21,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(C)C1=CC=CC=C1,COC1=CC=CC=C1,CC(C)CCOC(=O)CC1=CC=CC=C1,CCCCCC1CCC(=O)O1,C1CCC(CC1)O,CCCCC(=O)OCC,CC1=CC=C(N1)C,CCC=C(C)C(=O)O,CC1=NC=CN=C1C,CC1=CN=C(C=N1)C,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,C/C=C(\C)/C(=O)OC,,,,,,,,,,,,,,
Ravia,96,CC(C)C1=CC=C(C=C1)CO,CC1=CC2=C(C=C1)N=CC=C2,COC1=CC=CC=C1,CCC(=O)OCC,C1CCC(CC1)O,CC1=CC=C(C=C1)OC(=O)C,CC1=CN=C(C=N1)C,CCCCCC1=C(CCC1=O)C,CC1=CC[C@H](CC1=O)C(=C)C,C[C@@H]1CCO[C@@H](C1)C=C(C)C,,,,,,,,,,,,,,,,,,,,
Ravia,97,CC(C)C1=CC=C(C=C1)C=O,CC1=CC2=C(C=C1)N=CC=C2,CC=CC1=CC(=C(C=C1)OC)OC,COC1=CC=CC=C1,CC1=CC=C(C=C1)OC,C1CCC(CC1)O,CCCCCCC=O,CCCCC(=O)OCC,CCCCSCCCC,CC1=CC=C(N1)C,CCC=C(C)C(=O)O,CCC1=NC=CN=C1,C/C=C/C1=CC=C(C=C1)OC,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,
Ravia,98,COC1=C(C=CC(=C1)CC=C)O,CC1=CC(=O)CC(C1)(C)C,CCCCCC1CCC(=O)O1,C1CCC(CC1)O,CCCCCCCO,CCCCC(=O)OCC,CCCCSCCCC,CCCCCCCC(=O)C,CC1=CN=C(C=N1)C,C1=CC=C(C=C1)/C=C/C=O,C[C@@H]1CCO[C@@H](C1)C=C(C)C,C/C=C(\C)/C(=O)OC,,,,,,,,,,,,,,,,,,
Ravia,99,CC(C)C1=CC=C(C=C1)CO,CC1CCCC2(C1(CCCC2)O)C,CC1=CC(=O)CC(C1)(C)C,CC1=CC2=C(C=C1)N=CC=C2,CC(C)C1=CC=CC=C1,COC1=CC=CC=C1,CCC(=O)OCC,CC1=NC=CN=C1C,CCCCCC1=C(CCC1=O)C,CC1=CC[C@H](CC1=O)C(=C)C,,,,,,,,,,,,,,,,,,,,
Ravia,100,C1CC(=O)OC2=CC=CC=C21,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC1=CC2=C(C=C1)N=CC=C2,CC(C)C(=O)OCCC1=CC=CC=C1,CCC(=O)OCC,CCCCCCC=O,CC1=CC=C(C=C1)OC(=O)C,CC1=CC=C(N1)C,CCC1=NC=CN=C1,CC1=CC[C@@H]2C[C@H]1C2(C)C,CC1C=C(CCC1C=O)C,C1=CC=C(C=C1)/C=C/C=O,C/C=C/C1=CC=C(C=C1)OC,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,,,,,,,,,,,,,,,,
Ravia,101,CC=CC1=CC(=C(C=C1)OC)OC,CC(C)C(=O)OCCC1=CC=CC=C1,CCCCCC1CCC(=O)O1,CCC(=O)C=CC1=C(CCCC1(C)C)C,CC1=CC[C@@H]2C[C@H]1C2(C)C,CC1C=C(CCC1C=O)C,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CC/C=C/CCO,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,,,
Ravia,102,CC1(C2CCC(O1)(CC2)C)C,COC1=C(C=CC(=C1)CC=C)O,COC1=CC=CC=C1,CCCCCCC=O,CC1=CC=C(N1)C,CCC=C(C)C(=O)O,CCC1=NC=CN=C1,CC1=CC[C@@H]2C[C@H]1C2(C)C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,CC1C=C(CCC1C=O)C,CC1=CC[C@H](CC1=O)C(=C)C,,,,,,,,,,,,,,,,,,,
Ravia,103,CC1(C2CCC(O1)(CC2)C)C,CC1=CC(=O)CC(C1)(C)C,COC1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C,CCCCC(=O)OCC,CCCCCOC(=O)CCC,CC1=CC=C(N1)C,CCCCCCCC(=O)C,CSSSC,C/C=C(\C)/C(=O)OC,CCCC(=O)OCC/C=C\CC,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,
Ravia,104,CC(C)C1=CC=CC=C1,CCC(=O)OCC,CCCCCCC=O,CCCCCCCCCCO,CC1=CC=C(C=C1)OC(=O)C,CCCCC(=O)OCC,CCCCCOC(=O)CCC,CC1=NC=CN=C1C,CCCCCC1=C(CCC1=O)C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,CC1C=C(CCC1C=O)C,CC/C=C\CCO,,,,,,,,,,,,,,,,,,
Ravia,105,CCCCO,CC1(C2CCC(O1)(CC2)C)C,CC(C)C[C@@H](C(=O)O)N,CC1=CC(=O)CC(C1)(C)C,COC1=CC=CC=C1,CCCCCCCO,CCC=C(C)C(=O)O,CCC1=NC=CN=C1,CC1=CN=C(C=N1)C,CC1=CC[C@@H]2C[C@H]1C2(C)C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,C/C=C(\C)/C(=O)OC,,,,,,,,,,,,,,,,,,
Ravia,106,CC(C)C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)CC(=O)O,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CC1=CC(=O)CC(C1)(C)C,CC(C)C1=CC=CC=C1,CCCCSCCCC,CC1=CC=C(N1)C,CC1=CC[C@H](CC1=O)C(=C)C,CC/C=C/CCO,,,,,,,,,,,,,,,,,,,,,
Ravia,107,C1CC(=O)OC2=CC=CC=C21,CC1CCCC2(C1(CCCC2)O)C,CC1=CC(=O)CC(C1)(C)C,CCCCCCCO,CC1=NC=CN=C1C,CCC1=NC=CN=C1,CC1=CC[C@@H]2C[C@H]1C2(C)C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,CC1=CC[C@H](CC1=O)C(=C)C,,,,,,,,,,,,,,,,,,,,,
Ravia,108,CCCCO,C1CC(=O)OC2=CC=CC=C21,CC(C)C[C@@H](C(=O)O)N,CCC1=CC=CC=C1O,CC(C)C1=CC=CC=C1,C1CCC(CC1)O,CCCCCCC=O,CCCCSCCCC,CCC=C(C)C(=O)O,CC1=NC=CN=C1C,CC1=CN=C(C=N1)C,CC/C=C/CCO,C/C=C(\C)/C(=O)OC,,,,,,,,,,,,,,,,,
Ravia,109,C1=CC=C(C=C1)CC(=O)O,CC(C)C1=CC=CC=C1,CC(C)CCOC(=O)CC1=CC=CC=C1,CCCCCCCO,CCCCCCCCCCO,CC(CCC=C(C)C)CCOC(=O)C,CC1=CN=C(C=N1)C,CCCCCC1=C(CCC1=O)C,CC1C=C(CCC1C=O)C,,,,,,,,,,,,,,,,,,,,,
Ravia,110,CCCCO,C1=CC=C(C=C1)CC(=O)O,CC1=CC2=C(C=C1)N=CC=C2,CCCCCC1CCC(=O)O1,CCC(=O)OCC,C1CCC(CC1)O,CCCCCCCO,CC1=CC=C(C=C1)OC(=O)C,CCCCC(=O)OCC,CC1=NC=CN=C1C,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,CC(=CCC/C(=C/C=O)/C)C,CC/C=C/CCO,,,,,,,,,,,,,,,,,
