Stimulus,alkane,citrus,earth,fat,flower,fruit,green,herb,mint,must,spice,sulfur,sweet,wood,CID,MolecularWeight,IsomericSMILES,IUPACName,name
244,0,0,0,0,1,0,0,0,0,0,0,0,1,0,244,108.14,C1=CC=C(C=C1)CO,phenylmethanol,benzyl alcohol
261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,261,72.11,CCCC=O,butanal,butyraldehyde
262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,262,90.12,CC(C(C)O)O,"butane-2,3-diol","2,3-butanediol"
263,0,0,0,0,0,1,0,0,0,0,0,0,0,0,263,74.12,CCCCO,butan-1-ol,1-butanol
323,0,0,0,0,0,0,1,0,0,0,0,0,1,0,323,146.14,C1=CC=C2C(=C1)C=CC(=O)O2,chromen-2-one,coumarin
325,0,0,0,0,0,0,0,1,0,0,0,0,0,1,325,150.22,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol
356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,356,114.23,CCCCCCCC,octane,octane
454,0,0,0,1,0,0,1,0,0,0,0,0,0,0,454,128.21,CCCCCCCC=O,octanal,octanal
460,0,0,0,0,0,0,0,0,0,0,0,0,1,0,460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,702,46.07,CCO,ethanol,ethanol
878,0,0,0,0,0,0,0,0,0,0,0,1,0,0,878,48.11,CS,methanethiol,methanethiol
998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,998,120.15,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde,phenylacetaldehyde
999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,999,136.15,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,phenylacetic acid
1068,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1068,62.14,CSC,methylsulfanylmethane,dimethyl sulfide
1136,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1136,143.21,CC1=C(SC=N1)CCO,"2-(4-methyl-1,3-thiazol-5-yl)ethanol",4-methyl-5-thiazoleethanol
2345,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2345,212.24,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,benzyl benzoate,benzyl benzoate
2682,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2682,242.44,CCCCCCCCCCCCCCCCO,hexadecan-1-ol,1-hexadecanol
2758,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
2969,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2969,172.26,CCCCCCCCCC(=O)O,decanoic acid,decanoic acid
4276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4276,192.21,COC1=CC(=CC2=C1OCO2)CC=C,"4-methoxy-6-prop-2-enyl-1,3-benzodioxole",myristicin
5144,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5144,162.18,C=CCC1=CC2=C(C=C1)OCO2,"5-prop-2-enyl-1,3-benzodioxole",safrole
5971,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5971,99.16,C=CCN=C=S,3-isothiocyanatoprop-1-ene,allyl isothiocyanate
6054,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6054,122.16,C1=CC=C(C=C1)CCO,2-phenylethanol,2-phenylethanol
6184,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6184,100.16,CCCCCC=O,hexanal,hexanal
6213,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6213,94.14,CS(=O)(=O)C,methylsulfonylmethane,dimethyl sulfone
6549,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6549,154.25,CC(=CCCC(C)(C=C)O)C,"3,7-dimethylocta-1,6-dien-3-ol",linalool
6561,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6561,72.11,CC(C)C=O,2-methylpropanal,isobutyraldehyde
6631,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6631,198.3,CC1CCC(CC1)C(C)(C)OC(=O)C,2-(4-methylcyclohexyl)propan-2-yl acetate,dihydroterpinyl acetate
6920,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6920,126.18,CC(=O)C1=CC=CS1,1-thiophen-2-ylethanone,2-acetylthiophene
6986,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6986,154.25,CC1CCC(C(=O)C1)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-one,10458-14-7
6987,0,0,0,0,0,1,0,0,1,0,0,0,1,0,6987,152.23,CC1=CC(=O)C(CC1)C(C)C,3-methyl-6-propan-2-ylcyclohex-2-en-1-one,piperitone
7127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7127,178.23,COC1=C(C=C(C=C1)CC=C)OC,"1,2-dimethoxy-4-prop-2-enylbenzene",methyl eugenol
7150,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7150,136.15,COC(=O)C1=CC=CC=C1,methyl benzoate,methyl benzoate
7165,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7165,150.17,CCOC(=O)C1=CC=CC=C1,ethyl benzoate,ethyl benzoate
7194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7194,226.27,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,2-phenylethyl benzoate,phenethyl benzoate
7269,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7269,134.22,CC1=CC(=C(C=C1C)C)C,"1,2,4,5-tetramethylbenzene","1,2,4,5-tetramethylbenzene"
7302,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7302,86.09,C1CC(=O)OC1,oxolan-2-one,gamma-butyrolactone
7335,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7335,194.27,CC1=CCC(CC1OC(=O)C)C(=C)C,(2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl) acetate,carvyl acetate
7342,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7342,116.16,CCOC(=O)C(C)C,ethyl 2-methylpropanoate,ethyl isobutyrate
7344,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7344,118.13,CCOC(=O)C(C)O,ethyl 2-hydroxypropanoate,ethyl lactate
7362,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7362,96.08,C1=COC(=C1)C=O,furan-2-carbaldehyde,furfural
7364,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7364,112.15,C1=CSC(=C1)C=O,thiophene-2-carbaldehyde,thiophene-2-carbaldehyde
7410,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
7439,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7439,150.22,CC1=CCC(CC1=O)C(=C)C,2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,carvone
7460,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7460,136.23,CC1=CCC(C=C1)C(C)C,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",alpha-phellandrene
7463,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7463,134.22,CC1=CC=C(C=C1)C(C)C,1-methyl-4-propan-2-ylbenzene,p-cymene
7590,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7590,164.2,CCOC(=O)CC1=CC=CC=C1,ethyl 2-phenylacetate,ethyl phenylacetate
7720,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7720,130.23,CCCCC(CC)CO,2-ethylhexan-1-ol,2-ethylhexan-1-ol
7738,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7738,138.16,COC1=CC=C(C=C1)CO,(4-methoxyphenyl)methanol,4-methoxybenzyl alcohol
7742,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7742,128.17,CCCC1CCC(=O)O1,5-propyloxolan-2-one,gamma-heptalactone
7749,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7749,102.13,CCC(=O)OCC,ethyl propanoate,ethyl propionate
7765,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7765,118.17,CCOC(C)OCC,"1,1-diethoxyethane",acetal
7794,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7794,154.25,CC(CCC=C(C)C)CC=O,"3,7-dimethyloct-6-enal",citronellal
7797,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7797,158.24,CCCCCCC(=O)OCC,ethyl heptanoate,ethyl heptanoate
7799,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7799,172.26,CCCCCCCC(=O)OCC,ethyl octanoate,ethyl octanoate
7824,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7824,130.18,CCCCCC(=O)OC,methyl hexanoate,methyl hexanoate
7895,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7895,86.13,CCCC(=O)C,pentan-2-one,2-pentanone
7945,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7945,130.18,CCOC(=O)CC(C)C,ethyl 3-methylbutanoate,ethyl isovalerate
8003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8003,72.15,CCCCC,pentane,pentane
8038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8038,116.16,CC(C)COC(=O)C,2-methylpropyl acetate,isobutyl acetate
8058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8058,86.18,CCCCCC,hexane,hexane
8103,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8103,102.17,CCCCCCO,hexan-1-ol,1-hexanol
8106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8106,118.24,CCCCCCS,hexane-1-thiol,1-hexanethiol
8109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8109,104.15,CCOCCCO,3-ethoxypropan-1-ol,3-ethoxy-1-propanol
8129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8129,116.2,CCCCCCCO,heptan-1-ol,1-heptanol
8130,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8130,114.19,CCCCCCC=O,heptanal,heptanal
8139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8139,214.34,CCCCCCCCCCCC(=O)OC,methyl dodecanoate,methyl laurate
8141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8141,128.25,CCCCCCCCC,nonane,nonane
8158,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8158,158.24,CCCCCCCCC(=O)O,nonanoic acid,nonanoic acid
8163,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8163,170.29,CCCCCCCCCC(=O)C,undecan-2-one,2-undecanone
8174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8174,158.28,CCCCCCCCCCO,decan-1-ol,1-decanol
8182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8182,170.33,CCCCCCCCCCCC,dodecane,dodecane
8186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8186,170.29,CCCCCCCCCCC=O,undecanal,undecanal
8193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8193,186.33,CCCCCCCCCCCCO,dodecan-1-ol,1-dodecanol
8194,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8194,184.32,CCCCCCCCCCCC=O,dodecanal,dodecanal
8201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8201,298.5,CCCCCCCCCCCCCCCCCC(=O)OC,methyl octadecanoate,methyl stearate
8207,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8207,200.36,CCCCCCCCCCCCCO,tridecan-1-ol,1-tridecanol
8222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8222,282.5,CCCCCCCCCCCCCCCCCCCC,icosane,eicosane
8257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8257,86.13,CC(C)(C=C)O,2-methylbut-3-en-2-ol,2-methyl-3-buten-2-ol
8294,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8294,196.29,CC(=CCCC(C)(C=C)OC(=O)C)C,"3,7-dimethylocta-1,6-dien-3-yl acetate",linalyl acetate
8365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8365,166.17,CCOC(=O)C1=CC=CC=C1O,ethyl 2-hydroxybenzoate,ethyl salicylate
8635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8635,151.16,COC(=O)C1=CC=CC=C1N,methyl 2-aminobenzoate,methyl anthranilate
8748,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8748,154.25,CC(=C)C1CCC(CC1)(C)O,1-methyl-4-prop-1-en-2-ylcyclohexan-1-ol,beta-terpineol
8835,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8835,226.35,CCCC(=O)OCCC(C)CCC=C(C)C,"3,7-dimethyloct-6-enyl butanoate",citronellyl butyrate
8858,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8858,98.14,CC(=CC(=O)C)C,4-methylpent-3-en-2-one,mesityl oxide
8900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8900,100.2,CCCCCCC,heptane,heptane
8907,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8907,298.5,CCCCCCCCCCCCCCCC(=O)OC(C)C,propan-2-yl hexadecanoate,isopropyl palmitate
8908,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8908,144.21,CCCCCCOC(=O)C,hexyl acetate,hexyl acetate
8914,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8914,144.25,CCCCCCCCCO,nonan-1-ol,1-nonanol
8918,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8918,186.29,CCCCCCCCCOC(=O)C,nonyl acetate,nonyl acetate
9895,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9895,152.23,CC1=C(C(CCC1)(C)C)C=O,"2,6,6-trimethylcyclohexene-1-carbaldehyde",beta-cyclocitral
10106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10106,154.25,CC(C)C12CCC(O1)(CC2)C,1-methyl-4-propan-2-yl-7-oxabicyclo[2.2.1]heptane,"1,4-cineole"
10231,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10231,222.24,COC1=C(C2=C(C=C1CC=C)OCO2)OC,"4,5-dimethoxy-6-prop-2-enyl-1,3-benzodioxole",dillapiole
10248,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10248,208.25,COC1=CC(=CC(=C1OC)OC)CC=C,"1,2,3-trimethoxy-5-prop-2-enylbenzene",elemicin
10282,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10282,154.25,CC1=CC(C(CC1)C(C)C)O,3-methyl-6-propan-2-ylcyclohex-2-en-1-ol,p-menth-1-en-3-ol
10408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10408,268.5,CC(C)CCCC(C)CCCC(C)CCCC(=O)C,"6,10,14-trimethylpentadecan-2-one","6,10,14-trimethylpentadecan-2-one"
10448,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10448,106.19,CSCCCO,3-methylsulfanylpropan-1-ol,methionol
10583,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10583,204.35,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,"1-ethenyl-1-methyl-2,4-bis(prop-1-en-2-yl)cyclohexane","1-ethenyl-1-methyl-2,4-bis(prop-1-en-2-yl)cyclohexane"
10748,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10748,176.17,COC1=CC2=C(C=C1)C=CC(=O)O2,7-methoxychromen-2-one,7-methoxycoumarin
10882,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10882,130.18,CCCCC(=O)OCC,ethyl pentanoate,ethyl pentanoate
11006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11006,226.44,CCCCCCCCCCCCCCCC,hexadecane,hexadecane
11039,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11039,102.13,CC(C)C(=O)OC,methyl 2-methylpropanoate,methyl isobutyrate
11086,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11086,135.16,CC(=O)C1=CC=CC=C1N,1-(2-aminophenyl)ethanone,2'-aminoacetophenone
11126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11126,98.17,CC1=CC=CS1,2-methylthiophene,2-methylthiophene
11142,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11142,136.23,CC(C)C1CCC(=C)C=C1,3-methylidene-6-propan-2-ylcyclohexene,beta-phellandrene
11168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11168,73.12,CSC#N,methyl thiocyanate,methyl thiocyanate
11173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11173,86.13,CC(=CCO)C,3-methylbut-2-en-1-ol,3-methyl-2-buten-1-ol
11230,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11230,154.25,CC1=CCC(CC1)(C(C)C)O,4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,4-carvomenthenol
11265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11265,100.16,CCC(=O)C(C)C,2-methylpentan-3-one,2-methyl-3-pentanone
11428,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11428,88.15,CCC(CC)O,pentan-3-ol,3-pentanol
11468,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11468,154.25,CC(C)C1=CCC(CC1)(C)O,1-methyl-4-propan-2-ylcyclohex-3-en-1-ol,p-menth-3-en-1-ol
11517,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11517,200.32,CCCCCCCC(=O)OCCCC,butyl octanoate,butyl octanoate
11520,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11520,116.2,CCCCC(CC)O,heptan-3-ol,heptan-3-ol
11613,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11613,115.2,CCCCN=C=S,1-isothiocyanatobutane,butyl isothiocyanate
11635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11635,254.5,CCCCCCCCCCCCCCCCCC,octadecane,octadecane
12038,0,0,0,0,1,1,0,0,0,0,0,0,1,0,12038,196.2,CCOC(=O)C1=CC(=C(C=C1)O)OC,ethyl 4-hydroxy-3-methoxybenzoate,ethyl vanillate
12072,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12072,154.25,CC1CCC(CC1O)C(=C)C,2-methyl-5-prop-1-en-2-ylcyclohexan-1-ol,dihydrocarveol
12101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12101,122.16,CCC1=CC(=CC=C1)O,3-ethylphenol,3-ethylphenol
12180,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12180,102.13,CCCC(=O)OC,methyl butanoate,methyl butyrate
12209,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12209,130.18,CCC(C)COC(=O)C,2-methylbutyl acetate,2-methylbutyl acetate
12230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12230,76.16,CCSC,methylsulfanylethane,ethyl methyl sulfide
12293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12293,158.24,CCCCCC(=O)OCCC,propyl hexanoate,propyl hexanoate
12294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12294,172.26,CCCCCC(=O)OCCCC,butyl hexanoate,butyl hexanoate
12388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12388,184.36,CCCCCCCCCCCCC,tridecane,tridecane
12389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12389,198.39,CCCCCCCCCCCCCC,tetradecane,tetradecane
12391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12391,212.41,CCCCCCCCCCCCCCC,pentadecane,pentadecane
12398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12398,240.5,CCCCCCCCCCCCCCCCC,heptadecane,heptadecane
